moment,duration,age,race,gender,reflection,id,concepts,Confidence
My kid visit me and have meal with them.,All day,65+ years old,Chinese,Female,24 h,6499,Food|Family,0.688|0.53
When my spouse surprised me with an airtime,A few minutes,65+ years old,Chinese,Female,24 h,6500,Family,0.71
i having my delicious lunch,At least one hour,65+ years old,Chinese,Female,24 h,6501,Food,0.773
My dog that I bought!,All day,35-44 years old,Chinese,Male,24 h,6502,Family,0.503
When I took my favourite meal,At least one hour,65+ years old,Chinese,Female,24 h,6503,Food,0.745
I got the parcel from Shopee which i ordered .,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6504,Career,0.535
I arrange bought flowers into a beautiful floral arrangement for my mum.,Half a day,45-54 years old,Chinese,Female,24 h,6505,Family,0.651
it was when my daughter applying powder on my skin when she saw that i was having itchiness on my skin,A few minutes,25-34 years old,Chinese,Female,24 h,6506,,
One happy moment in the past 24 hours was spending time with my friends where we play an online game together and there were many fun moments.,Half a day,25-34 years old,Chinese,Female,24 h,6507,Entertainment|Conversation|Family,0.805|0.633|0.607
When my husband auto offers to do an errand for me,A few minutes,25-34 years old,Chinese,Female,24 h,6508,Family,0.755
One happy moment in the past 24 hours was when my mum and I were binge watching sitcoms.,At least one hour,35-44 years old,Indian,Female,24 h,6509,Entertainment|Family,0.638|0.571
One happy moment in the past 24 hours was when I had one of my favourite meals,At least one hour,35-44 years old,Chinese,Female,24 h,6510,Food,0.804
We had a meal together as a family. We sang and laughed together,At least one hour,45-54 years old,Chinese,Female,24 h,6511,Family|Food,0.856|0.847
I connected with someone with someone at work,Half a day,55-64 years old,Malay,Female,24 h,6512,Career,0.504
Thankful that we are coping better with Covid-19 Phase 2 stricter measures this year than 2020.,I'm still feeling it,45-54 years old,Chinese,Female,24 h,6513,Family,0.523
Complete my vaccination,A few minutes,45-54 years old,Chinese,Female,24 h,6514,,
I listened to my favourite song,I'm still feeling it,18-24 years old,Chinese,Female,24 h,6515,,
i swe my cats,Half a day,25-34 years old,Malay,Female,24 h,6516,Family,0.55
One of my happy moments in the past 24 hours is when I saw my result and I had an A.,I'm still feeling it,25-34 years old,Chinese,Female,24 h,6517,,
Happy moment for the past 24hrs was listening to my younger daughter reading. I�m so proud of her,At least one hour,35-44 years old,Malay,Female,24 h,6518,Family,0.817
my friend made me jelly.,Half a day,45-54 years old,Chinese,Female,24 h,6519,Family,0.666
I finished my run.,At least one hour,18-24 years old,Chinese,Female,24 h,6520,,
"We are going to take flyer, all of us are so excited and enjoy that day.",All day,35-44 years old,Chinese,Female,24 h,6521,,
there was less traffic jam today,A few minutes,35-44 years old,Chinese,Female,24 h,6522,,
The survey I did actually make sense.,I'm still feeling it,18-24 years old,Chinese,Female,24 h,6523,,
My birthday my child gave me a surprise  of buying a cake.,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6524,Family,0.834
"My child was born ",I'm still feeling it,65+ years old,Indian,Male,24 h,6525,Family,0.712
I slept like a baby,All day,18-24 years old,Indian,Female,24 h,6526,Family,0.572
I bought doge coin and it went up.,I'm still feeling it,25-34 years old,Chinese,Female,24 h,6527,Career|Technology,0.862|0.83
I ate strawberry waffle,At least one hour,25-34 years old,Chinese,Male,24 h,6528,Food|Family,0.628|0.556
"I am able to solve a problem at home, even though it is not a serious one",A few minutes,45-54 years old,Chinese,Female,24 h,6529,Family,0.509
When i secured a job just now.,I'm still feeling it,25-34 years old,Chinese,Female,24 h,6530,,
Greg Jeff back off my.,Half a day,25-34 years old,Chinese,Male,24 h,6531,Family,0.639
Eating a proper meal,At least one hour,18-24 years old,Indian,Male,24 h,6532,Food,0.848
Stay hwalthy,All day,55-64 years old,Chinese,Male,24 h,6533,Family,0.529
i worked out yesterday after not working out for a few days,At least one hour,25-34 years old,Chinese,Female,24 h,6534,,
I was outside petting the community cats in my area,A few minutes,25-34 years old,Chinese,Female,24 h,6535,,
Rest day. No work.,At least one hour,25-34 years old,Chinese,Male,24 h,6536,,
I left my workplace.,At least one hour,45-54 years old,Other|,Male,24 h,6537,Family,0.51
Cant think of any yet,A few minutes,25-34 years old,Chinese,Female,24 h,6538,,
Shopping for raya,All day,55-64 years old,Indian,Female,24 h,6539,,
Enough sleep,Half a day,35-44 years old,Chinese,Female,24 h,6540,Family,0.588
I receive a suprise gift from my wife,At least one hour,35-44 years old,Chinese,Male,24 h,6541,Family,0.649
In morning time when i pass time with my son,All day,25-34 years old,Malay,Male,24 h,6542,Family,0.758
Having an ice cream,A few minutes,45-54 years old,Chinese,Female,24 h,6543,Food,0.53
I received the certificate for the course I have completed,Half a day,55-64 years old,Chinese,Male,24 h,6544,Education|Career,0.614|0.574
Sales  I got An offer for the product im selling,At least one hour,35-44 years old,Chinese,Male,24 h,6545,Career,0.513
the couple cook together,Half a day,25-34 years old,Other|,Female,24 h,6546,Food|Family,0.745|0.725
I can finally go to the beach and enjoy some relaxing time with my wife.,Half a day,25-34 years old,Chinese,Male,24 h,6547,,
I am blessed by God,All day,45-54 years old,Chinese,Male,24 h,6548,Family,0.607
i have food.on my table. physicalfood and spiritual food .,All day,35-44 years old,Chinese,Female,24 h,6549,Food,0.662
Completed my morning run,A few minutes,45-54 years old,Chinese,Male,24 h,6550,,
I watched my favourite variety show,At least one hour,18-24 years old,Chinese,Female,24 h,6551,Family|Entertainment,0.551|0.521
I cooked for my neighbour,At least one hour,55-64 years old,Chinese,Male,24 h,6552,Food|Family,0.833|0.831
Another happy moment in the past 24 hours was when my parents have come over to stay with me,I'm still feeling it,25-34 years old,Malay,Female,24 h,6553,Food,0.567
Another is when  job is accomplished.,Half a day,45-54 years old,Chinese,Male,24 h,6554,,
Another happy moment was when my mum smiled when I wished her happy Mother�s Day,A few minutes,18-24 years old,Chinese,Female,24 h,6555,Family,0.651
I finally managed to get the briyani rice .,I'm still feeling it,55-64 years old,Malay,Female,24 h,6556,Food,0.637
"Relax, carefree, stress-free and do not worry too much. There are a lot of people who are worse off than you",All day,55-64 years old,Chinese,Male,24 h,6557,Family,0.543
going to bed,At least one hour,45-54 years old,Chinese,Male,24 h,6558,Exercise|Family,0.562|0.537
My second son and daughterc-in-law came visiting with their baby.,I'm still feeling it,65+ years old,Chinese,Male,24 h,6559,Family,0.686
I knew I had ample things to entertain me in the near future.,A few minutes,55-64 years old,Chinese,Male,24 h,6560,,
Another happy moment in the past 24 hours was when I managed to finish mostly everything I had to do that day before going to bed.,At least one hour,18-24 years old,Chinese,Male,24 h,6561,Entertainment,0.58
My sister and i went to market to purchase vegetables,All day,35-44 years old,Chinese,Female,24 h,6562,Food|Family,0.738|0.519
I found a simple way to have clean and filtered water from the tap.,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6563,,
Another happy moment in the past 24 hours was when my investment in crypto made money,Half a day,18-24 years old,Chinese,Male,24 h,6564,Career,0.862
When my son get hitched in January 2021,I'm still feeling it,45-54 years old,Malay,Female,24 h,6565,,
I finished my house chores in 1 day,A few minutes,45-54 years old,Chinese,Male,24 h,6566,Family,0.702
my colleague requested to move our meeting to the afternoon because she needed more time.  I needed more time too!,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6567,Family,0.653
I get to eat my snacks,At least one hour,25-34 years old,Malay,Male,24 h,6568,Food,0.727
When I was given surprise of an airtime with my husband,At least one hour,25-34 years old,Chinese,Female,24 h,6569,Family,0.767
Enjoying lunch with my wife at home.,At least one hour,55-64 years old,Chinese,Male,24 h,6570,Family|Food,0.645|0.507
My wife said she love me and thanks me for everything i did to her.,A few minutes,55-64 years old,Chinese,Male,24 h,6571,Family,0.778
always feeling Happy,All day,55-64 years old,Chinese,Male,24 h,6572,Family,0.634
My children do well.,All day,45-54 years old,Chinese,Female,24 h,6573,Family,0.934
I'm happy have 3 children.,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6574,Family,0.609
Praise God,At least one hour,45-54 years old,Chinese,Male,24 h,6575,Family,0.606
"Singapore are safe, although there is COVID case increase, I felt proud to be a Singaporean",A few minutes,45-54 years old,Chinese,Female,24 h,6576,Career,0.511
I managed to cookies baked,I'm still feeling it,25-34 years old,Malay,Female,24 h,6577,Food|Family,0.599|0.543
I've a lottery winning. Though it's not a big amount I'm happy because it's been a long time since my last winning,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6578,,
"One of my night got a stroke who need help as nobody is around with him at that moment,",All day,65+ years old,Chinese,Male,24 h,6579,Family,0.75
Another happy moment in the past 24 hours was when I received a call from my elder brother. He was checking in on me after I had my vaccination yesterday. I felt happy and loved.,At least one hour,45-54 years old,Chinese,Male,24 h,6580,,
Another happy moment in the past 24hours when i woke up and saw the photo of BTS again as wallpaper on my phone. <U+0001F923>,I'm still feeling it,25-34 years old,Chinese,Male,24 h,6581,,
yet away from singapore to a less crowded country,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6582,,
Another happy moment in the past 24 hours was when I watched a good movie,Half a day,18-24 years old,Chinese,Female,24 h,6583,Entertainment,0.695
with a suitor,I'm still feeling it,45-54 years old,Chinese,Female,24 h,6584,Family,0.555
"No happy moment in the past 24 hours, only thing I can think of is ""sleep well"".",A few minutes,55-64 years old,Chinese,Female,24 h,6585,,
I have successfully bake a beautiful cake,At least one hour,45-54 years old,Chinese,Female,24 h,6586,,
When I woke up after a good sleep,All day,55-64 years old,Chinese,Male,24 h,6587,Family,0.535
Another happy moment in the past 24 hours was when my husband bought a bouquets of flowers and a box of chocolates to me for our 25th marriage anniversary.,I'm still feeling it,45-54 years old,Chinese,Female,24 h,6588,Food,0.506
Another happy moment in the past 24 hours was when I received my exam results and I did better than I expected.,I'm still feeling it,18-24 years old,Malay,Female,24 h,6589,Education,0.62
when i wakeup it my happiest day as i look forward,All day,45-54 years old,Chinese,Male,24 h,6590,Family,0.799
when u have fulfilled a task,A few minutes,65+ years old,Chinese,Male,24 h,6591,,
When I am with my friends,At least one hour,18-24 years old,Chinese,Female,24 h,6592,Family,0.677
Eating with my family,At least one hour,18-24 years old,Chinese,Male,24 h,6593,Food|Family,0.894|0.769
When I ate a nice supper,A few minutes,25-34 years old,Chinese,Female,24 h,6594,Food|Family,0.759|0.54
My anime has a new episode,At least one hour,18-24 years old,Chinese,Male,24 h,6595,,
Sleeping beside my beloved wife and waking up everyday with the same feeling.,I'm still feeling it,25-34 years old,Chinese,Male,24 h,6596,Family,0.531
"For the first time, I bake florentine cookies and it turns out good.",A few minutes,55-64 years old,Malay,Female,24 h,6597,Food|Family,0.719|0.633
Another happy moment in the past 24 hours was when I had a good and filling meal.,At least one hour,45-54 years old,Chinese,Male,24 h,6598,Food,0.855
Can go home with job done,Half a day,45-54 years old,Chinese,Male,24 h,6599,Exercise,0.511
Another happy moment was when my sister discharged from hospital.and nothing alarming for her health,I'm still feeling it,45-54 years old,Chinese,Female,24 h,6600,,
"I stepped into my apartment, relieved to be away from the human and road traffic outside",A few minutes,55-64 years old,Chinese,Male,24 h,6601,,
Spending time with family.,All day,45-54 years old,Chinese,Male,24 h,6602,Family,0.863
share joke with friends,A few minutes,55-64 years old,Chinese,Male,24 h,6603,Family,0.768
Cooked miso noodles for daughter and she likes it,Half a day,45-54 years old,Chinese,Female,24 h,6604,Food|Family,0.856|0.699
To achieve the end result of the discussion with client in order to achieve a win win situation,All day,45-54 years old,Chinese,Male,24 h,6605,,
Not happy recently quite stress at work,Other|,35-44 years old,Chinese,Female,24 h,6606,Family,0.584
Playing with my grand niece,At least one hour,45-54 years old,Chinese,Female,24 h,6607,Family,0.819
I was invited to lunch by another member of my church whom I have never had a meal with.,At least one hour,45-54 years old,Chinese,Female,24 h,6608,Food,0.745
I have past my test,Half a day,45-54 years old,Chinese,Male,24 h,6609,Education,0.85
Brought my parents to Night Safari,Half a day,45-54 years old,Chinese,Female,24 h,6610,Family,0.728
"A moment (Sunday) to be close to GOD, praying for HIS Blessing to protect Singapore from this Covid-19 virus, and keeping all Singapore Citizen safe.",I'm still feeling it,55-64 years old,Chinese,Male,24 h,6611,,
Happy to be able to say i love you to my spouse.,A few minutes,55-64 years old,Chinese,Female,24 h,6612,Family,0.77
I ate my favourite chicken rice,All day,55-64 years old,Chinese,Female,24 h,6613,Food,0.817
I bought a kitchen appliance at 50 % discount during a Special Promotion Hour where there are limited stocks available,I'm still feeling it,45-54 years old,Chinese,Female,24 h,6614,Food,0.724
Visit my mother in law,I'm still feeling it,55-64 years old,Chinese,Male,24 h,6615,Family,0.801
strike ibet toto $6.,A few minutes,55-64 years old,Chinese,Female,24 h,6616,,
Customers having confidence & trust me,All day,45-54 years old,Chinese,Female,24 h,6617,,
That I was able to change my mum's mattress this morning despite the fact that it was my mistake that I ordered wrongly.,At least one hour,45-54 years old,Chinese,Male,24 h,6618,Family,0.543
Another happy moment in the past 24hour was when my parcel is delivered,A few minutes,18-24 years old,Chinese,Female,24 h,6619,,
i managed to complete a task assigned.,A few minutes,25-34 years old,Chinese,Male,24 h,6620,,
No other happy moments.,Other|,45-54 years old,Malay,Male,24 h,6621,,
another happy moment in the past 24 hours was when my friend surprised me with a dinner treat for my brithday,All day,18-24 years old,Chinese,Male,24 h,6622,Food,0.586
Watching movies,At least one hour,45-54 years old,Chinese,Female,24 h,6623,,
I ate a delicious plate of char kway teow,Half a day,45-54 years old,Chinese,Male,24 h,6624,Food,0.748
I managed to win a first place in an online racing video game.,Half a day,25-34 years old,Malay,Male,24 h,6625,,
Helping my spouse whip up delicious meal for the family.,Half a day,55-64 years old,Chinese,Male,24 h,6626,Family|Food,0.796|0.787
it was time for me to sleep. i like lying down in the dark and listening or watching videos on the internet until i fall asleep. i cant sleep otherwise.,A few minutes,18-24 years old,Chinese,Female,24 h,6627,,
I saw my pet rabbit jumping towards me,At least one hour,45-54 years old,Chinese,Male,24 h,6628,,
Cannot think of any,Other|,55-64 years old,Chinese,Male,24 h,6629,Family,0.568
watch drama which caused me to laugh happily,Other|,45-54 years old,Chinese,Male,24 h,6630,,
people admire my improved singing talent and achievement,I'm still feeling it,65+ years old,Chinese,Female,24 h,6631,Family,0.521
enjoying dinner with my family,At least one hour,18-24 years old,Chinese,Female,24 h,6632,Food|Family,0.757|0.633
none I can think of,Other|,55-64 years old,Chinese,Male,24 h,6633,,
I was cooking curry chicken with my mother.,I'm still feeling it,25-34 years old,Malay,Female,24 h,6634,Food|Family,0.838|0.685
I have manage to walk for 2 hours along changi coastal area to see the beautiful sunset.,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6635,,
My family members are healthy,All day,55-64 years old,Chinese,Male,24 h,6636,Family|Food,0.863|0.859
Making some money on the stock market overseas.,Half a day,55-64 years old,Other|,Male,24 h,6637,Career,0.719
My son agreed to our point of view,At least one hour,45-54 years old,Other|,Male,24 h,6638,Family,0.684
when I helped others at work,A few minutes,18-24 years old,Chinese,Female,24 h,6639,Family,0.648
when celebrate my anniversary,All day,25-34 years old,Other|,Female,24 h,6640,Family,0.664
cannot recall,Other|,18-24 years old,Chinese,Male,24 h,6641,,
I could exit a group chat in which I don't feel like being in the group. It takes courage and I am prepared to face negative comments of others in the chat group.,At least one hour,55-64 years old,Chinese,Female,24 h,6642,,
Having a great outing with immediate family.,All day,45-54 years old,Malay,Male,24 h,6643,Family,0.766
Finished cleaning up my car,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6644,,
My only grandchild visited me at home with her parents.,Half a day,55-64 years old,Chinese,Male,24 h,6645,Family,0.908
When I surrender my insurance policy and received a sum on the endowment.,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6646,Career,0.626
A long lost girl that I lost contact with connected with me again.,A few minutes,45-54 years old,Chinese,Male,24 h,6647,Career,0.607
My dog coming to lie down with me,At least one hour,45-54 years old,Indian,Female,24 h,6648,Family,0.556
When i got the chance to teach others,A few minutes,45-54 years old,Chinese,Female,24 h,6649,Family|Education,0.712|0.509
"Personal time to myself,relaxing and catching up with my stuff",All day,45-54 years old,Chinese,Female,24 h,6650,Family,0.548
Cant remember,A few minutes,65+ years old,Chinese,Female,24 h,6651,,
I resolved a nagging problem with my laptop.,All day,65+ years old,Indian,Male,24 h,6652,Family,0.524
received gift for mother day,All day,45-54 years old,Chinese,Female,24 h,6653,Family,0.766
Received the toys I ordered online and enable to send it to my grandson for his birthday.,Half a day,55-64 years old,Chinese,Male,24 h,6654,Family|Career,0.566|0.515
cannot recall any,Other|,45-54 years old,Chinese,Female,24 h,6655,,
Celebrating dad's birthday and mother's day with my parents.,At least one hour,45-54 years old,Chinese,Male,24 h,6656,Family,0.916
"Second moment| When learning that my son co-own a Company (with his former ACS classmates) in Spore about 8 months now...Shockingly the value of the company shot to $6M within less than a year. It handles development, design and upgrading/building activities in Spore. Amiin...Thank ALLAH for kind believe in our family. We still be kind always! Nothing changes.",I'm still feeling it,55-64 years old,Other|,Male,24 h,6657,Family,0.671
Having my lust released.,I'm still feeling it,55-64 years old,Chinese,Male,24 h,6658,,
"No more happy moments in the past 34 hours, everything as usual.",A few minutes,45-54 years old,Chinese,Female,24 h,6659,Entertainment,0.627
Completed my 2nd covid 19 vacinnation,Half a day,65+ years old,Chinese,Male,24 h,6660,,
"Second moment| Today onwards, to encourage us (employee) not to dine out - due to covid, my company started providing lunch (free lunch ~ yay!)",At least one hour,45-54 years old,Chinese,Female,24 h,6661,Food,0.663
I watched an interesting suspense movie.,At least one hour,55-64 years old,Chinese,Male,24 h,6662,,
WE WENT OUT FOR A FAMILY MEAL TOGETHER.,All day,55-64 years old,Chinese,Male,24 h,6663,Food|Family,0.862|0.692
My overseas married Daughter realised she loved herself more than me when she became a Mother to 2 kids,I'm still feeling it,65+ years old,Chinese,Female,24 h,6664,Family,0.856
I received a long distance call from my mother and knowing that she is safe and well.,All day,55-64 years old,Chinese,Male,24 h,6665,Family,0.772
Met up with a friend who shared her children who came to celebrate mother day.,A few minutes,45-54 years old,Chinese,Female,24 h,6666,Family,0.91
having breakfast with the other,A few minutes,55-64 years old,Chinese,Male,24 h,6667,Food,0.633
When all my chores are done and able to relax and cab go anywhere l want,All day,65+ years old,Chinese,Female,24 h,6668,,
Another happy moment in the past 24 hours was when I purchase a pack of cocktail nuts from the supermarket at a discounted price,I'm still feeling it,25-34 years old,Chinese,Female,24 h,6669,Food,0.83
FYP proposed project,I'm still feeling it,18-24 years old,Chinese,Female,24 h,6670,,
When there is interested buyer from my Carousell listing,A few minutes,45-54 years old,Chinese,Female,24 h,6671,Career,0.694
Happy and contented,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6672,Family,0.662
Another happy moment in the past 24 hours was when my son wishes me happy mothers day.,I'm still feeling it,25-34 years old,Malay,Female,24 h,6673,Family,0.599
Sons doing all the household chores as a present for Mother's Day.,All day,55-64 years old,Chinese,Female,24 h,6674,Family,0.923
No happy moment,Other|,45-54 years old,Chinese,Female,24 h,6675,,
Son having dinner with us,At least one hour,45-54 years old,Chinese,Female,24 h,6676,Family|Food,0.628|0.594
My girl remarked that she liked to be with me.,At least one hour,45-54 years old,Chinese,Male,24 h,6677,Family,0.714
Another moment was when I planned out the whole day and it went according to plan as other dates has not been successful,All day,18-24 years old,Indian,Female,24 h,6678,,
happy for working,All day,55-64 years old,Chinese,Male,24 h,6679,Family,0.559
I get a paid increase.,I'm still feeling it,55-64 years old,Chinese,Male,24 h,6680,Career,0.531
I am happy and did not upset on anything...,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6681,,
I spent the whole evening watching movies together. The whole entire family in front of TV chilling away our evening.,All day,45-54 years old,Chinese,Female,24 h,6682,Family,0.612
What my wife have done for the many years with me taking care of my family when i am not around to assist.,I'm still feeling it,65+ years old,Chinese,Male,24 h,6683,Family,0.812
I was anticipating having dinner with dinner with my friends.,At least one hour,18-24 years old,Chinese,Male,24 h,6684,Food,0.707
A friend's son has finally graduate after he suffering long period of illness,Half a day,65+ years old,Chinese,Female,24 h,6685,Family,0.691
Another happy moment in the past 24 hours was when watching cartoons on TV because all the characters are very animated and lively. It brings out the energy in everyone.,A few minutes,55-64 years old,Other|,Male,24 h,6686,Entertainment,0.752
My grandson kept clinging to me and refused to let his daddy carry him.,A few minutes,55-64 years old,Chinese,Female,24 h,6687,Family,0.875
My daughter told me that she will be working from home for the next few months and she is cooking for me,All day,65+ years old,Chinese,Female,24 h,6688,Family|Food,0.815|0.591
Dinner with my sis,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6689,Food|Family,0.751|0.616
Compliments fm customer,A few minutes,55-64 years old,Chinese,Male,24 h,6690,,
Celebrated mother's day and ate pasta with family.,At least one hour,18-24 years old,Chinese,Female,24 h,6691,Family|Food,0.864|0.685
I saw a funny youtube video about a cat last night.,A few minutes,55-64 years old,Chinese,Female,24 h,6692,Family,0.64
my daugther paid for mothers day dinner,At least one hour,55-64 years old,Chinese,Male,24 h,6693,Family|Food,0.789|0.503
I was able to win a bet,Half a day,45-54 years old,Chinese,Male,24 h,6694,Career,0.554
Another happy moment in the past 24 hours was when I wore my favourite shoe today without caring about what others think. I feel good about myself.,At least one hour,18-24 years old,Chinese,Male,24 h,6695,,
I can watch my movies online,At least one hour,55-64 years old,Chinese,Male,24 h,6696,,
I ate my favourite foods,At least one hour,45-54 years old,Other|,Female,24 h,6697,Food|Family,0.776|0.501
The other happy moment was when I played online games with my friends.,At least one hour,18-24 years old,Chinese,Female,24 h,6698,Entertainment|Conversation,0.736|0.689
When my last daughter hugged me,A few minutes,45-54 years old,Other|,Female,24 h,6699,Family,0.898
Good wine was on sale..buy one get one free.,A few minutes,55-64 years old,Chinese,Male,24 h,6700,,
WHEN MY FASTING GLUCOSE COUNT REDUCED.,All day,65+ years old,Chinese,Female,24 h,6701,Food,0.59
Having dinner,A few minutes,45-54 years old,Chinese,Female,24 h,6702,Food,0.734
when i am able to enjoy my life with all the love one next to me.,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6703,Family,0.611
I managed to host a meeting with good results.,All day,55-64 years old,Chinese,Female,24 h,6704,,
Going towards plan,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6705,Exercise,0.853
I finally can go to bed!,Half a day,65+ years old,Chinese,Female,24 h,6706,Family,0.582
Nil�nothing,A few minutes,45-54 years old,Chinese,Male,24 h,6707,,
Money to spwnt,At least one hour,45-54 years old,Chinese,Female,24 h,6708,Career,0.639
ANother moment happy moment was talking to my mum,A few minutes,45-54 years old,Chinese,Female,24 h,6709,Family,0.644
I bought my long wanted perfume,Half a day,18-24 years old,Chinese,Female,24 h,6710,,
Making cookies,Half a day,55-64 years old,Malay,Female,24 h,6711,Food|Family,0.591|0.586
I lend a listening ear to a friend as she was very upset with her sister.  It was very late already but I stayed up and chatted with her.,Half a day,45-54 years old,Chinese,Female,24 h,6712,Family,0.574
That my mother is still with me.,I'm still feeling it,45-54 years old,Indian,Male,24 h,6713,Family,0.858
| taking care of my plants.,At least one hour,65+ years old,Chinese,Female,24 h,6714,Family,0.628
My wife stay healthy and happy,I'm still feeling it,55-64 years old,Chinese,Male,24 h,6715,Family,0.682
Another happy moment was that I had successfully confirmed to be able to continue staying in the University hostel for the fourth year studies,At least one hour,18-24 years old,Chinese,Male,24 h,6716,Education,0.581
Received a surprise cake from my husband,At least one hour,55-64 years old,Chinese,Female,24 h,6717,Family|Food,0.708|0.51
Another happy moment in the past 24 hours was when I bought new clothes online. I think having some new things to wear makes me very happy.,At least one hour,18-24 years old,Chinese,Female,24 h,6718,Shopping,0.525
Spending time on my hobby (static model building),At least one hour,45-54 years old,Chinese,Male,24 h,6719,Family,0.641
None in the past 24 hrs,A few minutes,45-54 years old,Chinese,Male,24 h,6720,,
Eating a sweet and juicy orange,A few minutes,55-64 years old,Chinese,Female,24 h,6721,Food,0.807
I really cant think of any.,A few minutes,45-54 years old,Chinese,Male,24 h,6722,,
When I finish my work,All day,45-54 years old,Chinese,Female,24 h,6723,,
I met a nice taxi driver who is helpful to carry the wheelchair.,A few minutes,55-64 years old,Chinese,Female,24 h,6724,Family,0.523
Things at work went pretty smoothly.,At least one hour,25-34 years old,Chinese,Male,24 h,6725,,
I picked up 20 cents on the road while passer by,A few minutes,55-64 years old,Chinese,Female,24 h,6726,,
i spend time with my friends,At least one hour,25-34 years old,Chinese,Male,24 h,6727,Family,0.755
when I win,A few minutes,45-54 years old,Chinese,Male,24 h,6728,,
Another happy moment in the past 24 hours was I clear up my garden.,Half a day,65+ years old,Chinese,Female,24 h,6729,,
I could clocked enough steps for the day.,A few minutes,45-54 years old,Chinese,Male,24 h,6730,Family,0.549
3 hours ago I was happy that I am able to clear my basketball game tasks without any delay,At least one hour,45-54 years old,Chinese,Male,24 h,6731,Entertainment,0.56
When I was chatting with my sister who lives overseas,At least one hour,25-34 years old,Chinese,Female,24 h,6732,Family,0.729
"My son did his exams well ",At least one hour,45-54 years old,Chinese,Female,24 h,6733,Family|Education,0.828|0.717
Getting home safely,At least one hour,18-24 years old,Chinese,Male,24 h,6734,Exercise,0.589
When U got married,All day,45-54 years old,Chinese,Male,24 h,6735,Family,0.717
celebration of mothers day,All day,18-24 years old,Chinese,Male,24 h,6736,Family,0.9
Moment of blessings came from far away greetings both from my daughter and grandchildren. Wishing me mother's Day,All day,55-64 years old,Indian,Female,24 h,6737,Family,0.877
I enjoy my lunch that I cooked,Half a day,55-64 years old,Chinese,Female,24 h,6738,Food|Family,0.867|0.545
I helped an elderly cross the road,At least one hour,55-64 years old,Chinese,Female,24 h,6739,,
Can watch my korean dramas,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6740,,
Celebrating mother's day,At least one hour,45-54 years old,Chinese,Female,24 h,6741,Family,0.897
My daughter gave me a hug,All day,45-54 years old,Other|,Male,24 h,6742,Family,0.881
my son managed to resolve his dispute with car agent over a long outstanding issue.,A few minutes,65+ years old,Chinese,Male,24 h,6743,Career,0.583
I had arrange to meet my friend after 1 year,At least one hour,55-64 years old,Chinese,Female,24 h,6744,Family,0.644
I can't think of anymore within the last 24 hrs,Other|,45-54 years old,Chinese,Male,24 h,6745,,
I accomplished my fitness goal for the day,All day,25-34 years old,Chinese,Male,24 h,6746,Family,0.592
Having a virtual meeting with community folks on planning activities.,At least one hour,55-64 years old,Chinese,Male,24 h,6747,,
I get to watch k dramas,At least one hour,45-54 years old,Chinese,Female,24 h,6748,,
another happy moment was being able to be at home yesterday and have family dinner in the evening.,At least one hour,18-24 years old,Chinese,Female,24 h,6749,Food,0.554
I settled some stressful work in my workplace.,All day,45-54 years old,Chinese,Male,24 h,6750,Family,0.555
Another happy moment in the past 24 hours was when the price for a stock dropped and I bought it,A few minutes,18-24 years old,Chinese,Female,24 h,6751,Career,0.615
My daughter got promotion as a manager of her current job. I am very happy.,I'm still feeling it,65+ years old,Chinese,Male,24 h,6752,Family,0.708
feel relax,I'm still feeling it,45-54 years old,Indian,Male,24 h,6753,,
I went to my friends� house for lunch and a good chat.,Half a day,45-54 years old,Chinese,Female,24 h,6754,,
Watching a game playthrough video of Resident Evil| Village by Jacksepticeye,At least one hour,18-24 years old,Chinese,Prefer not to say,24 h,6755,Family|Entertainment,0.636|0.589
Finish my job on time and made the rest of time relax and continuous do others thing do not like to delay work done,At least one hour,55-64 years old,Chinese,Male,24 h,6756,,
Celebrating Mother's Day and daughter's birthday,All day,65+ years old,Chinese,Male,24 h,6757,Family,0.89
"Meeting up childhood friends, while at a funeral wake.",At least one hour,55-64 years old,Indian,Male,24 h,6758,Family,0.775
Another happy moment in the past 24 hours was when I completed the task in my game.,A few minutes,18-24 years old,Chinese,Female,24 h,6759,Entertainment,0.708
have a nice lunch,A few minutes,45-54 years old,Chinese,Male,24 h,6760,Food,0.735
Another happy moment in the past 24 hrs was when I laughed with them they laughed with me that�s to acknowledge my feelings.,All day,65+ years old,Chinese,Female,24 h,6761,,
Making breakfast for my wife in the morning,A few minutes,25-34 years old,Chinese,Male,24 h,6762,Food|Family,0.683|0.669
