moment,duration,age,race,gender,reflection
I my business plan was approved,All day,55-64 years old,Malay,Male,3m
I learnt that the troublemaker in the company has left,Half a day,45-54 years old,Chinese,Male,3m
The moment that made me happy when I get to see my girlfriend after work and at the end of the day before we separate was when she kiss me on the cheek,Half a day,25-34 years old,Chinese,Male,3m
I am happy everyday when I play video games to relax everyday.,At least one hour,18-24 years old,Chinese,Male,3m
I make the first five figure profit from my trading since 2010.,I'm still feeling it,55-64 years old,Chinese,Male,3m
"I was happy when i see my son seriously studying for his exams for the very first time.

",At least one hour,55-64 years old,Chinese,Male,3m
a fulfilling conversation that I had with my daughter,Half a day,45-54 years old,Chinese,Female,3m
Able to socialise with friends.,All day,65+ years old,Chinese,Female,3m
i am happy because there was a public holiday,Half a day,25-34 years old,Chinese,Female,3m
Meal with a friend who hasn't met for a year,Half a day,45-54 years old,Chinese,Female,3m
Being with friends a family on my birthday,All day,35-44 years old,Malay,Male,3m
"The first happy moment was when I could return to the gym after the Circuit breaker/ lock-down was lifted because working out helps me to de-stress from my daily work routine.
The second happy moment was when the family went on a staycation, where we got to spend quality time with each other without worrying about work.",All day,25-34 years old,Chinese,Male,3m
Celebrating Mother's day with my parents and family. ,Half a day,55-64 years old,Chinese,Female,3m
Children get into university ,Half a day,45-54 years old,Chinese,Female,3m
my son uploaded his new song and his achievement are my happiest moment.,I'm still feeling it,55-64 years old,Chinese,Female,3m
The day i got married,At least one hour,45-54 years old,Chinese,Male,3m
One happy moment in the past 3 months was when I was able to help the my local Community Club to answer questions and concerns concerning Vaccination by the senior citizens of my community. ,At least one hour,65+ years old,Chinese,Male,3m
one happy moment is when i received my paycheck,A few minutes,45-54 years old,Chinese,Female,3m
One happy moment in the past 3 months was when We were having dinner as one family,I'm still feeling it,25-34 years old,Malay,Female,3m
Last Saturday when I face-timed with my grandson and we then play an online game together.,At least one hour,55-64 years old,Chinese,Male,3m
"First moment is when I find that I could interact and find the courage to interact with my family members. e did not have a great past, but hoping for it to improve.

Second moment as when I managed to control the team under me to complete a task successfully.",Half a day,25-34 years old,Chinese,Male,3m
Completed a hydroponic online learning course. ,I'm still feeling it,55-64 years old,Chinese,Male,3m
"Grandson is born

Daughter married",I'm still feeling it,55-64 years old,Chinese,Female,3m
Went outing in pulau Ubin island and have some good meetup with close friends,Half a day,45-54 years old,Chinese,Male,3m
It’s when COVID situation in Singapore gets more controlled and people start to go back to normal life ,All day,25-34 years old,Chinese,Female,3m
it was when I gave a five-dollar note to a woman at the Orchard MRT station selling tissue paper.,At least one hour,55-64 years old,Chinese,Male,3m
My son birthday ,At least one hour,55-64 years old,Chinese,Female,3m
"1 moment in the past 3 months was when I passed out from BMT since it was 5 months long and after so long, we finally passed out, it felt real good.",All day,18-24 years old,Chinese,Male,3m
there was no happy moment in the past 3 months,Other:,55-64 years old,Chinese,Female,3m
I was able to get a pay raise for my work.,All day,55-64 years old,Chinese,Female,3m
It was when I graduated with my degree in 2012. ,All day,25-34 years old,Chinese,Male,3m
I went for a staycation after months of hard work from school and work. ,All day,18-24 years old,Chinese,Female,3m
My analysis of a stock was proven right.,All day,55-64 years old,Chinese,Male,3m
drivving a vehicle,At least one hour,35-44 years old,Malay,Male,3m
When it is a Saturday,Half a day,65+ years old,Chinese,Female,3m
i was offer the job i wanted to do so badly,I'm still feeling it,45-54 years old,Chinese,Female,3m
one happy moment in the past 3 months was when i realized that someone i disliked that did bad things was getting her just desserts,Half a day,25-34 years old,Chinese,Male,3m
"having my meals made me happy, ",Half a day,55-64 years old,Chinese,Female,3m
"When I made my first sales under my own company.
When I received a whatsapp call from my niece",A few minutes,45-54 years old,Chinese,Female,3m
One happy moment in the past 3 months was when I enjoyed family time spent visiting the zoo.,At least one hour,55-64 years old,Chinese,Female,3m
First moment: Being fortunate for what is available to me,All day,55-64 years old,Chinese,Male,3m
I changed my lifestyle for the better.,I'm still feeling it,45-54 years old,Indian,Male,3m
a colleague has written a nice note to compliment my work,I'm still feeling it,45-54 years old,Chinese,Female,3m
"Happy moment was when I am able to support my daughter financially when she bought her house.
Happy moment was when I am fully vaccinated against covid19",I'm still feeling it,55-64 years old,Chinese,Male,3m
One happy moment in the past 3 months was the celebration of my birthday together with my family.,All day,55-64 years old,Chinese,Male,3m
when I went to uss,All day,18-24 years old,Chinese,Female,3m
"On my birthday, my parents got me a new phone and I was really happy and grateful.",All day,18-24 years old,Malay,Male,3m
A happy moment in the past 3 months was when I received an email on a scholarship that would lessen my burden of school fees.,All day,18-24 years old,Chinese,Female,3m
My grandchildren hug me tightly and say we love you to the moon and back grandma ,A few minutes,55-64 years old,Indian,Female,3m
when i buy new clothes,At least one hour,25-34 years old,Chinese,Male,3m
"One happy moment in the past 3 months was when My fiance bought me a gold bracelet worth $800+ as a surprise. He gave it to me as a gift for our 6 years anniversary. An amazing man.

Second moment was when I received good compliments from my boss. my probation was good.
",Half a day,18-24 years old,Other:,Female,3m
Was given an opportunity to help somebody in need. ,I'm still feeling it,45-54 years old,Other:,Male,3m
I have helped someone that I don't know him personally to where he wanted to go to a place.,Other:,55-64 years old,Chinese,Male,3m
My two sons achievements. They make me proud. They did really above my expectations. Super proud,I'm still feeling it,45-54 years old,Malay,Male,3m
Finally can sleep well despite having sleeping disorder ,A few minutes,55-64 years old,Chinese,Male,3m
My spouse and children spend time together with me,All day,55-64 years old,Chinese,Female,3m
Achieved business sucess,I'm still feeling it,45-54 years old,Malay,Male,3m
Received the payouts of the investment ,All day,45-54 years old,Chinese,Male,3m
"Inspite of all the grief & pain, my family was here with me to celebrate my birthday in April. I was alive to be with my family on that day.",All day,65+ years old,Indian,Female,3m
"on 30th March I notice that my credit card was used by someone to purchase online mobile game, in total is 8 transactions, I was very happy that I manage to claim back all the payments",At least one hour,55-64 years old,Chinese,Male,3m
Very happy when I started my own business and did my first sale ,I'm still feeling it,45-54 years old,Chinese,Female,3m
My wife touch and rub all over my body,A few minutes,45-54 years old,Chinese,Male,3m
"My daugther start to calling me "" Daddy"" .",All day,45-54 years old,Chinese,Male,3m
I received my birthday present from my children ,At least one hour,65+ years old,Chinese,Female,3m
the happiest moment which occurred this year was when my first grandchild was born. ,I'm still feeling it,65+ years old,Chinese,Male,3m
One happy moment in the past three months was when we had our first grandchild.,I'm still feeling it,65+ years old,Chinese,Male,3m
Happy moments are time spent with family members especially during this fasting month. Fasting month is a time where family members gather together for meals every morning before sunrise.,I'm still feeling it,55-64 years old,Chinese,Female,3m
I received news of the impending arrival of another grandson,All day,65+ years old,Indian,Male,3m
Recently i have started earning from trading. The day i got my first profit ,At least one hour,35-44 years old,Chinese,Male,3m
Daily find myself happy just to be with spouse. we share moments daily.,I'm still feeling it,65+ years old,Chinese,Male,3m
I realised even in these times and without leaving my home I can still take pleasure in birdwatching right from my window or in the garden.,A few minutes,55-64 years old,Chinese,Female,3m
I managed to purchase a car to continue my driving experience,I'm still feeling it,65+ years old,Indian,Female,3m
Chinese New Year food preparation ,Half a day,45-54 years old,Chinese,Male,3m
One happy moment in the past 3 months was when my nephew smiles innocently to me. This makes me feel that he seems to like me and I felt included in his life. Another moment was when my friends showed care and concern when I fell off the bicycle,All day,25-34 years old,Chinese,Female,3m
Happy to be part of some volunteer group.,A few minutes,45-54 years old,Indian,Male,3m
cool i tio 4d and money a lot,All day,45-54 years old,Chinese,Male,3m
Looking at a smiley baby,I'm still feeling it,45-54 years old,Chinese,Female,3m
I caught up on the sitcoms I wanted to watch,At least one hour,18-24 years old,Chinese,Male,3m
I needed to go on hospitalisation leave because of a fractured foot and was worried about my job security. Luckily my supervisor assured me that it was all right and I could resume work after a few weeks,Half a day,55-64 years old,Chinese,Female,3m
I went on a blind date,All day,55-64 years old,Chinese,Female,3m
I purchased my first gaming laptop and really enjoyed the games at high resolution,A few minutes,25-34 years old,Chinese,Male,3m
"In the past 3 months, the time where I felt happy was when I modified my car",I'm still feeling it,18-24 years old,Chinese,Male,3m
When I met my high school friend,At least one hour,35-44 years old,Malay,Female,3m
"I guess finishing my finals last monday was a relief as I have been battling for the past year as a freshman, though all students go through the same transition.",I'm still feeling it,18-24 years old,Chinese,Male,3m
I was able to help someone who was in a panic ,I'm still feeling it,45-54 years old,Chinese,Male,3m
V and me hold hand in the car while sending her back and talked about life.,I'm still feeling it,45-54 years old,Chinese,Male,3m
I spent my birthday talking to and spending time with ppl who love and care for me. ,All day,25-34 years old,Chinese,Female,3m
I managed to complete my overdue project ,Half a day,45-54 years old,Chinese,Male,3m
I caught up with a friend I had not seen in months.,At least one hour,55-64 years old,Indian,Female,3m
Yesterday was mother's day. My brother cooked a delicious duck and vegetables and made a  teochew dinner for my mum. I bought cake and it was nice to have dinner to enjoy each other's company. I feel fortunate to be able to have and spend time meaningfully with family,Half a day,45-54 years old,Chinese,Female,3m
I got a mobility scooter for myself.,Half a day,55-64 years old,Indian,Male,3m
when i went to cycle ,Half a day,18-24 years old,Chinese,Female,3m
I found out that my girlfriend was pregnant and we were very happy. As my girlfriend has pcos and it not easy to conceive.,I'm still feeling it,25-34 years old,Chinese,Male,3m
"The first moment was when I started to spend time with my cousin whom we didn't meet for many years before.  Now we meet 2 - 3 times a month, each time for 5 - 6 hours over lunch and casual chatting.
",I'm still feeling it,55-64 years old,Chinese,Female,3m
I got to see a rare bird near my place.,Half a day,45-54 years old,Chinese,Male,3m
My children automatically did my chores.,All day,45-54 years old,Chinese,Female,3m
"One happy moment in the past 3 months was when when I got a promotion at work place
 ",I'm still feeling it,25-34 years old,Chinese,Female,3m
"My daughter bought me a birthday present for my recent birthday. I am happy she still remembers my birthday without anyone reminding her, lol.",All day,45-54 years old,Chinese,Male,3m
I manage to help a company to achieve something meaningful.,At least one hour,55-64 years old,Chinese,Male,3m
1st I did a good job that was surprisingly not accomplished by colleagues for last 3 months.,I'm still feeling it,55-64 years old,Indian,Male,3m
My cat started to sleep beside me. Starting the resume my healthy protein diet.,I'm still feeling it,25-34 years old,Indian,Male,3m
The day i won money from mahjong.,A few minutes,18-24 years old,Chinese,Male,3m
"1st - Happy when I met up some ex-colleague for dinner.
2nd - Had breakfast with my brothers.
3rd - Saw my plant flowering.
",All day,55-64 years old,Chinese,Male,3m
I am able to manage my vertigo problem and carry on daily life,I'm still feeling it,55-64 years old,Chinese,Female,3m
Talking to my children who are overseas.,At least one hour,55-64 years old,Indian,Male,3m
Received a pay increment,Half a day,45-54 years old,Chinese,Male,3m
"When I had a fun conversation with my younger sister, laughing a lot, as we try to recollect how many k-dramas we managed to complete the whole series and reminisce the fun times.  ",A few minutes,18-24 years old,Chinese,Female,3m
none i have any,A few minutes,45-54 years old,Chinese,Male,3m
I went on a shopping trip with my friend. We ate bagels for brunch and walked around town area to shop. We had acai for dinner. It was a very stress relieving retail therapy and I could also spend time together with my friend.,All day,18-24 years old,Chinese,Female,3m
When family member let me know that the effort I put is very much appreciated ,At least one hour,45-54 years old,Chinese,Female,3m
"Get to screw the woman I wanted to screw long ago
I struck 4D",A few minutes,45-54 years old,Chinese,Male,3m
One happy moment in the past 3 months was when i took my niece out.,Half a day,45-54 years old,Chinese,Female,3m
One happy moment is getting bank fee waivers,At least one hour,45-54 years old,Chinese,Female,3m
My family went out to celebrate my birthday ,I'm still feeling it,55-64 years old,Chinese,Male,3m
I'm generally happy when I complete a task; regardless its complexity or size,At least one hour,45-54 years old,Chinese,Male,3m
Two weeks ago I ended my internship after a fulfilling 6 months there,I'm still feeling it,18-24 years old,Chinese,Female,3m
Celebration of our wedding anniversary and going through the thought of 30 years together ,Half a day,55-64 years old,Chinese,Male,3m
Seeing a loved one making progress in his physio therapy sessions!,At least one hour,45-54 years old,Chinese,Male,3m
One happy moment in the past three months was my HDB flat has finally found a tenant after vacant for 4 months. ,I'm still feeling it,65+ years old,Chinese,Female,3m
when i finally get to play mahjong after such a long time,Half a day,45-54 years old,Chinese,Female,3m
I managed to cook a dish that I never thought I could and it turns out to be success. ,Half a day,45-54 years old,Chinese,Male,3m
I got a high score in one of the games I was playing.,A few minutes,25-34 years old,Other:,Male,3m
Had a Birthday celebration dinner outing with a group of close friends ,At least one hour,45-54 years old,Indian,Female,3m
I went for long car ride with my husband.,All day,55-64 years old,Chinese,Female,3m
One happy moment in the past 3 months was when I finally got to meet my friends and family after covid,All day,25-34 years old,Indian,Male,3m
We party with my family in my Wife birthday ,All day,25-34 years old,Malay,Male,3m
One happy moment in the past 3 months was when I manage to buy a wrist watch at a very good discount.,I'm still feeling it,35-44 years old,Chinese,Male,3m
One happy moment in the past 3 months was when i got the survey and actually made real money from it.,I'm still feeling it,45-54 years old,Indian,Male,3m
Whenever I get to spend time with my boyfriend without us turning a normal conversation into an arguement.,Half a day,18-24 years old,Chinese,Female,3m
"My boyfriend bought me flowers for valentine day, the flowers was really pretty which makes me happy. ",I'm still feeling it,25-34 years old,Chinese,Female,3m
I found out that I still have a job.,At least one hour,55-64 years old,Chinese,Male,3m
My boyfriend birthday. We go out together for the whole day,Half a day,25-34 years old,Chinese,Female,3m
My mind was completely empty but I was fully aware of this state of mind.,A few minutes,65+ years old,Chinese,Male,3m
I was employed after Covid 19.,Other:,65+ years old,Chinese,Male,3m
"One happy moment in the past 3 months was when all my 4 children remember my birthday and they wished me "" Happy Birthday, Dad.""
Another happy moment was when I bonded with my wife when we used  our Discover Singapore coupon for a time at the Garden By the Bay.",I'm still feeling it,65+ years old,Chinese,Male,3m
My mum 80 birthday and she is happy .,I'm still feeling it,55-64 years old,Chinese,Female,3m
I am always feeling tired from everything,Half a day,18-24 years old,Chinese,Male,3m
I finished my final exams and finallyy wentt out for a pinic with my friends,I'm still feeling it,18-24 years old,Chinese,Female,3m
"One happy moment in the past 3 months was when I went on a weekend staycation with my spouse at MBS. The skies were clear, and we are enjoying a nice weekend breakfast by the window bay talking about life's simplicity.",At least one hour,25-34 years old,Chinese,Female,3m
I was being praised at work and was so nice feeling of it,A few minutes,55-64 years old,Chinese,Female,3m
I was with family and extended family over dinner.,At least one hour,65+ years old,Chinese,Male,3m
It seeing people and the world having hope or been more positive of coming out of the pandemic more stronger.,All day,35-44 years old,Chinese,Male,3m
the amusing things my baby does makes me happy. especially when she learns something new,A few minutes,35-44 years old,Chinese,Female,3m
I used to love fried from a particular stall . sadly it stopped selling a few years ago . Recently I found a stall selling fried rice that resembles the taste.,At least one hour,35-44 years old,Chinese,Female,3m
"The most recent happiest moment is I struck lottery and won $10,000.",All day,25-34 years old,Chinese,Male,3m
Birthday celebration ,Half a day,35-44 years old,Chinese,Male,3m
"I am on leave today, no need to work make me feel relax",All day,35-44 years old,Chinese,Male,3m
My good friend got married in the past 3 months.,All day,65+ years old,Chinese,Male,3m
I was able to complete a challenging task without any assistance from others,All day,65+ years old,Chinese,Male,3m
I happy because i helped my mother did the housework yesterday.,Half a day,25-34 years old,Chinese,Male,3m
Sharing moment with my family,At least one hour,25-34 years old,Chinese,Male,3m
Got a surprise $10 voucher from Job Street,A few minutes,55-64 years old,Chinese,Female,3m
One happy moment in the past months was when i see my little one smiling at me,I'm still feeling it,25-34 years old,Chinese,Female,3m
Yesterday when I went out with my family to eat at a newly open restaurants,Half a day,25-34 years old,Chinese,Male,3m
I ate satay for dinner which i craved and had not done for some time. ,At least one hour,35-44 years old,Chinese,Female,3m
Raising a toast to my family members during mother's day dinner,A few minutes,25-34 years old,Chinese,Male,3m
received a gift from a colleague,At least one hour,25-34 years old,Malay,Male,3m
when i cooked,At least one hour,25-34 years old,Chinese,Female,3m
I was happy when my girlfriend surprised me with a surprise.,All day,25-34 years old,Chinese,Male,3m
My happy moment is that I get to see my spouse more often than before because of his workloads. ,Half a day,35-44 years old,Chinese,Female,3m
One happy moment in the past 3 months was when I am being recognise for my job performance by my boss,A few minutes,35-44 years old,Chinese,Female,3m
"Chinese New year was here, great to celebrate with family",All day,35-44 years old,Chinese,Female,3m
When I was on a staycation with my friend and we were dining with a good steak and free flow wine,All day,25-34 years old,Chinese,Female,3m
My grandchild said something very funny and the actions are very adorable.,All day,55-64 years old,Chinese,Female,3m
1 happy moment is having lunch weekly with my sister,Half a day,35-44 years old,Chinese,Female,3m
One happy moment was when my favourite football club qualified for the champions league. ,I'm still feeling it,35-44 years old,Malay,Female,3m
A happy moment in the past 3 months was when I got a lovely note from my daughter,I'm still feeling it,35-44 years old,Chinese,Female,3m
going for a walk in the park,At least one hour,35-44 years old,Chinese,Female,3m
There was no happy moment in laat 3 months.,A few minutes,35-44 years old,Chinese,Male,3m
one happy moment in the past three months was when i celebrated my birthday with the people i treasure and loved,All day,18-24 years old,Chinese,Female,3m
Birthday and company give bouns that month,Half a day,55-64 years old,Chinese,Male,3m
"able to celebrate my birthday, that i married my spouse i treasure & love",All day,65+ years old,Chinese,Male,3m
One happy moment in the past 3 months was when I got accepted in SMU accountancy. I was very happy when I was offered a place in the university. ,Half a day,18-24 years old,Chinese,Male,3m
It was a happy moment to lead a group on a hunting trail and complete it within the time frame. ,At least one hour,65+ years old,Chinese,Female,3m
The day I married my spouse. The day I married my spouse. The day I married my spouse.,Half a day,25-34 years old,Chinese,Male,3m
One happy moment in the past 3 months is doing well for my exams.,All day,18-24 years old,Chinese,Male,3m
I experienced such an emotion recently when my daughter who suffers from anxiety manage to maintain a good mental state when her job application is unsuccessful. ,I'm still feeling it,55-64 years old,Chinese,Male,3m
One happy moment in the past 3 months was when I played video games with my best friend.,Half a day,18-24 years old,Chinese,Female,3m
Finishing school,All day,35-44 years old,Malay,Male,3m
chit chat live with friends,All day,55-64 years old,Chinese,Male,3m
The day I married my spouse. The day I married my spouse. The day I married my spouse.,Half a day,35-44 years old,Malay,Female,3m
i was increased my pay through my hard working rewards.,All day,35-44 years old,Chinese,Male,3m
Went outing at the Safari Park with my family members.,I'm still feeling it,65+ years old,Chinese,Female,3m
i remember 2months ago i won a lottery and i was avle to share winnings to my family,All day,35-44 years old,Chinese,Male,3m
My spouse surprised me with chocolates and a bouquet of flowers.,At least one hour,25-34 years old,Chinese,Female,3m
I am happy to be awake and alive for the next day.,A few minutes,35-44 years old,Chinese,Female,3m
i have no thought about happy moments currently. ,A few minutes,25-34 years old,Chinese,Female,3m
"I and my family have an outing on a weekend at the Singapore Flyer.
We managed to plan for our trip up the Fyler at the evening time and manage to enjoy the day and night view of Singapore waterfront. The weather is good and will able to enjoy the beautiful scenery. ",At least one hour,65+ years old,Chinese,Male,3m
"I am so happy that my sister managed to recover from brain aneurysm without side effects that affect her mobility, speech etc.",I'm still feeling it,55-64 years old,Chinese,Female,3m
when i was seeing outside,I'm still feeling it,25-34 years old,Other:,Female,3m
"When I manage to reserve a game in the shop for my kids, and was informed that I could get it that very same day late in the afternoon which I could not make it, so salesperson was kind enough to keep it for me and I brought my kids to get which they were so happy. Seeing their happy face, made me happy too.",Half a day,35-44 years old,Chinese,Female,3m
"Completed a difficult project.
Recognition of efforts at work",Half a day,25-34 years old,Chinese,Female,3m
I paid all my bills on time without having to worry,Half a day,35-44 years old,Chinese,Male,3m
Hi baby how is the best one in the morning to see you cheer me to the hair roots of the week and ,A few minutes,25-34 years old,Malay,Female,3m
"when I played with my little girl, then only I realised how much she loves me. every day I go work, she misses me a lot, but now I get to spend time with her, so I am feeling happy.",A few minutes,25-34 years old,Chinese,Male,3m
One happy moment in the past 3 months was when I finally pay off my home loan. ,I'm still feeling it,35-44 years old,Malay,Male,3m
First time to see my baby,All day,35-44 years old,Malay,Male,3m
My son sang a song for us to listen,Half a day,35-44 years old,Chinese,Male,3m
My kids birthday party,All day,35-44 years old,Chinese,Male,3m
Going into phase 3,All day,35-44 years old,Chinese,Male,3m
i don't have to teach,All day,35-44 years old,Chinese,Female,3m
One happy moment in the past 3 months was when I won my first nitendo switch. Another happy moment is when I have completed my exams.  ,All day,18-24 years old,Chinese,Female,3m
My best friend gave birth to baby boy. ,A few minutes,25-34 years old,Chinese,Female,3m
One happy moment in the past 3 months was when...,Half a day,25-34 years old,Chinese,Male,3m
When my crush accepted me.,I'm still feeling it,25-34 years old,Chinese,Male,3m
My son was born.,I'm still feeling it,35-44 years old,Chinese,Male,3m
going to USS,All day,25-34 years old,Malay,Male,3m
one happy moment in the past 3 months was when my wife being pregnant,All day,25-34 years old,Chinese,Male,3m
buy new phone ,I'm still feeling it,35-44 years old,Indian,Male,3m
One such happy moment is when I returned from my school hostel back home.,All day,18-24 years old,Chinese,Female,3m
my daughter's offer of employment,All day,65+ years old,Chinese,Female,3m
"I decided to give a long hug to both my Father and Mother... on this one night when I was leaving the house to return home (to my own house). It was a HUGE moment of indescribable feelings of joy + gratitude + happiness to me, as I've never been close to both of them; hardly wanted to talk much with them when I was growing up as a child; esp with mother whom I had bitter/ resentful mutual relationship with...",All day,35-44 years old,Chinese,Male,3m
A visit from an ex colleague whom I have not seen for the last 28 years and she remembers my likes and dislikes and we recalled our past happy time working together. We laughed at our silly  mistakes looking back.,I'm still feeling it,65+ years old,Chinese,Female,3m
One happy moment in the past 3 months was when i bought my givenchy shoes after working hard.,All day,18-24 years old,Chinese,Male,3m
I saw my friend which I have not seen for more  two years ,All day,35-44 years old,Malay,Male,3m
"Before waking up today while I was still on bed I thought about the progress and archivements  I have made in life, it made me smile.",At least one hour,35-44 years old,Chinese,Male,3m
The day I got promoted at my current job,I'm still feeling it,35-44 years old,Chinese,Female,3m
When i heard vaccine is becoming widely available i really felt happy ,I'm still feeling it,35-44 years old,Malay,Male,3m
When my family went to have staycay together. We just spend 36 hours together without having to care about work. It was a great bonding time for us. ,I'm still feeling it,25-34 years old,Chinese,Female,3m
I ate nice food ,At least one hour,55-64 years old,Chinese,Male,3m
My recent Happy moment is when I finally recovered from my illness,I'm still feeling it,35-44 years old,Malay,Male,3m
"the one happy moment was when my family and myself went on cruise. It was best experience i could ask for. It was more like an escape from reality which actually gave me time to reflect on myself. Most important of all, i was able to spent this time with my family members. We hardly go out as a family as we spent most of the time at home. But this cruise trip gave us memories to treasure. ",All day,18-24 years old,Indian,Female,3m
No there isn't,A few minutes,55-64 years old,Chinese,Female,3m
The day I passed my driving test and get my license ,I'm still feeling it,35-44 years old,Chinese,Male,3m
i dont have such a day,Other:,18-24 years old,Chinese,Female,3m
I earn money and my favorite sport team win matches,At least one hour,25-34 years old,Chinese,Male,3m
A happy moment was in the past 3 months was going out to eat with my friends. I introduced someone I was interested in to 2 of my close friends our conversations and time spent made me very happy.,I'm still feeling it,18-24 years old,Chinese,Female,3m
"i am an animal lover. Last year, i chanced upon a furry brown cat during one of my evening walks. it was very friendly and i brought some food to feed it. I tried to look for it subsequently but it went missing for about a year until i saw her recently about 2 weeks ago. I was quite happy to see her again",At least one hour,25-34 years old,Chinese,Male,3m
Hamsters gave birth to 5 babies,I'm still feeling it,25-34 years old,Chinese,Female,3m
the happy moment is when my kids brought me out for dinner,All day,35-44 years old,Chinese,Male,3m
I was given a cash gift,I'm still feeling it,25-34 years old,Malay,Male,3m
One happy moment in the past 3 months was when I saw how appreciative my daughter is for the things others had done for her.,Half a day,25-34 years old,Chinese,Female,3m
One happy moment when I has promoted in my place of work. ,All day,25-34 years old,Malay,Male,3m
I received 5 months of bonus.,At least one hour,25-34 years old,Chinese,Male,3m
I had a mini catch up session with my friends that I've not met for about a year.,All day,18-24 years old,Chinese,Prefer not to say,3m
When I got to know a new fren,I'm still feeling it,35-44 years old,Chinese,Female,3m
"Just now. I haven't been feeling well, physically or mentally i'm not sure. I took a sick day, slept in, and spent some time alone watching videos and listening to music I enjoy and I felt peace.",All day,18-24 years old,Chinese,Female,3m
I was happy when I went swimming.,At least one hour,18-24 years old,Chinese,Female,3m
"One happy moment in the past 3 months was when I went for a birthday staycation with my boyfriend and friends. 
",I'm still feeling it,18-24 years old,Chinese,Female,3m
Cannot Remember,At least one hour,25-34 years old,Chinese,Male,3m
I was on leave,A few minutes,25-34 years old,Chinese,Male,3m
"One happy moment in the past 3 months was when a customer was really happy with a custom cake which I made and gave a really nice compliment of the cake on social media and my boss said I did a great job!

Another happy moment in the past 3 months was when I got to experience flying a kite. It was the first time I flew a kite and it was successful and fun! ",I'm still feeling it,18-24 years old,Chinese,Female,3m
Earn money from crypto currency exchange,Half a day,35-44 years old,Chinese,Male,3m
one happy moment when i make some money with my talent,All day,18-24 years old,Chinese,Male,3m
When I manage to get a promotion after working tirelessly on a project ,At least one hour,25-34 years old,Chinese,Female,3m
"When I finally extracted my wisdom teeth, I felt so happy I conquered my fear ",All day,35-44 years old,Chinese,Female,3m
Able to understand the whole logic of having Covid 19 jab.,I'm still feeling it,65+ years old,Chinese,Female,3m
Always happy when I can spend time with my furkid,At least one hour,35-44 years old,Chinese,Female,3m
The day I bought my dog,All day,35-44 years old,Malay,Male,3m
I won at mahjong ,At least one hour,25-34 years old,Chinese,Female,3m
I found true love,At least one hour,35-44 years old,Chinese,Male,3m
someone recovered from a bad illness,Half a day,65+ years old,Chinese,Male,3m
When i met the love of my life,I'm still feeling it,25-34 years old,Chinese,Female,3m
I was promoted in my job,All day,25-34 years old,Chinese,Male,3m
My mum birthday party,All day,35-44 years old,Chinese,Male,3m
One happy moment in the past 3 months was when my football club i support won a match by some margin and my favorite footballer Messi performed really well on that day. ,At least one hour,25-34 years old,Chinese,Male,3m
Celebrating 38th wedding anniversary with my wife over a buffet dinner.,At least one hour,65+ years old,Other:,Male,3m
A surprise present.,At least one hour,35-44 years old,Chinese,Male,3m
When i move to new house,Half a day,25-34 years old,Malay,Female,3m
My happy moment when i received a gift card from my daughter with unexpectedly,I'm still feeling it,25-34 years old,Malay,Female,3m
"Without going into much detail, my relationship has been quite rocky for a few months now but we were just avoiding talking about it but when the inevitable came that we had to talk about it. I just felt lighter and freer and happy.",I'm still feeling it,18-24 years old,Other:,Female,3m
I got a promotion at my workplace after 8years without promotion.,I'm still feeling it,35-44 years old,Chinese,Female,3m
When i received award of best of the best,All day,25-34 years old,Chinese,Female,3m
My exams ended and I finally got to gi see my extended family.,Half a day,18-24 years old,Chinese,Female,3m
Today coz my boss recognize me,All day,25-34 years old,Malay,Female,3m
When i made millions,At least one hour,25-34 years old,Malay,Male,3m
buy new phone ,I'm still feeling it,35-44 years old,Indian,Male,3m
"One happy moment in the past 3 months was when my friends threw me a surprise birthday party at a cafe, before they treated me to a surprise staycation.",All day,18-24 years old,Chinese,Female,3m
I met up with my friends for dinner last week,Half a day,18-24 years old,Chinese,Female,3m
I got a manicure.,I'm still feeling it,18-24 years old,Chinese,Female,3m
Thet day I married,All day,25-34 years old,Indian,Male,3m
Able to attend IRON MAIDEN concert in my country. It was awesome. Will always remember that moment.,All day,35-44 years old,Malay,Male,3m
I had a breakthrough with a project in my work,I'm still feeling it,35-44 years old,Chinese,Male,3m
I met a friend I have not seen in years and we had quite a long chat. It felt good and we still connect well with each other despite the distance.,At least one hour,18-24 years old,Malay,Male,3m
One happy moment in the past 3 months was when I got into a relationship,I'm still feeling it,25-34 years old,Chinese,Male,3m
"one happy moment was 2 months ago when my boyfriend surprised me with a staycation at MBS
",I'm still feeling it,25-34 years old,Chinese,Female,3m
my supervisors at work complimented me for my work.,At least one hour,25-34 years old,Chinese,Male,3m
My family is my life.,A few minutes,25-34 years old,Other:,Male,3m
I quit my job recently ,I'm still feeling it,18-24 years old,Chinese,Male,3m
I saw my dad after 15 years ,I'm still feeling it,18-24 years old,Malay,Male,3m
opening a good card from a booster pack,A few minutes,25-34 years old,Chinese,Male,3m
Can help my friend.,I'm still feeling it,35-44 years old,Chinese,Male,3m
my boyfriend brought me out ,I'm still feeling it,18-24 years old,Chinese,Male,3m
I had lunch on my own,At least one hour,35-44 years old,Chinese,Female,3m
One happy moment in the past 3 months was when I knew I have more time to relax when there is an assignment cancelled last minute.,Half a day,25-34 years old,Chinese,Female,3m
I was happy when I give birth to my daughter,I'm still feeling it,35-44 years old,Malay,Female,3m
